,user_state,event_platform,device_manufacture,device_model,Subscription Premium Cancel
0,16,0,11,59,0
1,16,0,11,59,0
2,16,0,11,59,0
3,16,0,11,59,0
4,16,0,11,59,0
5,16,0,11,59,0
6,3,0,11,101,0
7,3,0,11,101,0
8,3,0,11,101,0
9,3,0,11,101,0
10,3,0,11,101,0
11,3,0,11,101,0
12,3,0,11,101,0
13,3,0,11,101,0
14,3,1,0,142,0
15,3,1,0,142,0
16,3,1,0,142,0
17,3,1,0,142,0
18,3,1,0,142,0
19,3,1,0,142,0
20,3,1,0,142,0
21,3,1,0,142,0
22,3,1,0,142,0
23,3,1,0,142,0
24,30,1,0,135,0
25,30,1,0,135,0
26,30,1,0,135,0
27,30,1,0,135,0
28,30,1,0,135,0
29,30,1,0,135,0
30,30,1,0,135,0
31,11,0,10,153,0
32,11,0,10,153,0
33,11,0,10,153,0
34,11,0,10,153,0
35,11,0,10,153,0
36,11,0,10,153,0
37,11,0,10,153,0
38,30,1,0,142,0
39,30,1,0,142,0
40,30,1,0,142,0
41,30,1,0,142,0
42,30,1,0,142,0
43,30,1,0,142,0
44,30,1,0,142,0
45,30,1,0,142,0
46,30,1,0,142,0
47,30,1,0,142,0
48,30,1,0,142,0
49,30,1,0,142,0
50,30,1,0,142,0
51,30,1,0,142,0
52,30,1,0,142,0
53,30,1,0,142,0
54,30,1,0,142,0
55,30,1,0,142,0
56,30,1,0,142,0
57,3,0,10,159,0
58,3,0,10,159,0
59,3,0,10,159,0
60,3,0,10,159,0
61,3,0,10,159,0
62,3,0,10,159,0
63,3,1,0,135,0
64,16,1,0,135,1
65,16,1,0,135,1
66,16,1,0,135,1
67,16,1,0,135,1
68,16,1,0,135,1
69,16,1,0,135,1
70,16,1,0,135,1
71,16,1,0,135,1
72,16,1,0,135,1
73,16,1,0,135,1
74,16,1,0,135,1
75,16,1,0,135,1
76,8,0,11,51,0
77,8,0,11,51,0
78,8,0,11,51,0
79,8,0,11,51,0
80,8,0,11,51,0
81,8,0,11,51,0
82,8,0,11,51,0
83,8,0,11,51,0
84,8,0,11,51,0
85,8,0,11,51,0
86,8,0,11,51,0
87,8,0,11,51,0
88,8,0,11,51,0
89,8,0,11,51,0
90,8,0,11,51,0
91,8,0,11,51,0
92,8,0,11,51,0
93,8,0,11,51,0
94,8,0,11,51,0
95,8,0,11,51,0
96,8,0,11,51,0
97,8,0,11,51,0
98,8,0,11,51,0
99,8,0,11,51,0
100,8,0,11,51,0
101,8,0,11,51,0
102,8,0,11,51,0
103,8,0,11,51,0
104,8,0,11,51,0
105,8,0,11,51,0
106,8,0,11,51,0
107,8,0,11,51,0
108,8,0,11,51,0
109,8,0,11,51,0
110,8,0,11,51,0
111,8,0,11,51,0
112,8,0,11,51,0
113,8,0,11,51,0
114,8,0,11,51,0
115,8,0,11,51,0
116,8,0,11,51,0
117,8,0,11,51,0
118,8,0,11,51,0
119,8,0,11,51,0
120,8,0,11,51,0
121,8,0,11,51,0
122,8,0,11,51,0
123,8,0,11,51,0
124,8,0,11,51,0
125,8,0,11,51,0
126,8,0,11,51,0
127,24,0,11,47,0
128,3,1,0,142,0
129,3,1,0,142,0
130,3,1,0,142,0
131,3,1,0,142,0
132,3,1,0,142,0
133,3,1,0,142,0
134,3,1,0,142,0
135,3,1,0,142,0
136,3,1,0,142,0
137,3,1,0,142,0
138,3,1,0,142,0
139,3,1,0,142,0
140,3,1,0,142,0
141,8,1,0,128,0
142,8,1,0,128,0
143,8,1,0,128,0
144,8,1,0,128,0
145,8,1,0,128,0
146,8,1,0,128,0
147,8,1,0,128,0
148,8,1,0,128,0
149,8,1,0,128,0
150,8,1,0,128,0
151,8,1,0,128,0
152,3,1,0,141,0
153,3,1,0,141,0
154,3,1,0,141,0
155,3,1,0,141,0
156,3,1,0,141,0
157,3,1,0,141,0
158,3,1,0,141,0
159,3,1,0,141,0
160,3,1,0,141,0
161,3,1,0,141,0
162,3,1,0,141,0
163,3,1,0,141,0
164,3,1,0,141,0
165,32,1,0,143,1
166,32,1,0,143,1
167,32,1,0,143,1
168,32,1,0,143,1
169,32,1,0,143,1
170,32,1,0,143,1
171,32,1,0,143,1
172,8,1,0,140,1
173,8,1,0,140,1
174,8,1,0,140,1
175,8,1,0,140,1
176,8,1,0,140,1
177,8,1,0,140,1
178,8,1,0,140,1
179,8,1,0,140,1
180,8,1,0,140,1
181,8,1,0,140,1
182,8,1,0,140,1
183,8,1,0,140,1
184,8,1,0,140,1
185,3,0,11,89,0
186,3,0,11,89,0
187,3,0,11,89,0
188,3,0,11,89,0
189,3,0,11,89,0
190,30,1,0,143,1
191,30,1,0,143,1
192,30,1,0,143,1
193,30,1,0,143,1
194,30,1,0,143,1
195,30,1,0,143,1
196,12,0,10,157,0
197,12,0,10,157,0
198,12,0,10,157,0
199,12,0,10,157,0
200,12,0,10,157,0
201,32,1,0,133,0
202,32,1,0,133,0
203,32,1,0,133,0
204,32,1,0,133,0
205,32,1,0,133,0
206,3,1,0,135,1
207,3,1,0,135,1
208,3,1,0,135,1
209,3,1,0,135,1
210,3,1,0,135,1
211,3,1,0,135,1
212,3,1,0,135,1
213,3,1,0,135,1
214,3,1,0,135,1
215,3,1,0,135,1
216,3,1,0,135,1
217,3,1,0,135,1
218,3,1,0,135,1
219,3,1,0,135,1
220,3,1,0,135,1
221,3,1,0,135,1
222,3,1,0,135,1
223,3,1,0,135,1
224,3,1,0,143,0
225,3,1,0,143,0
226,3,1,0,143,0
227,3,1,0,143,0
228,3,1,0,143,0
229,3,1,0,143,0
230,3,1,0,143,0
231,3,1,0,143,0
232,3,1,0,143,0
233,3,1,0,143,0
234,3,1,0,143,0
235,3,1,0,143,0
236,3,1,0,143,0
237,3,1,0,143,0
238,3,1,0,143,0
239,3,1,0,143,0
240,3,1,0,143,0
241,3,1,0,143,0
242,3,1,0,143,0
243,3,1,0,143,0
244,3,1,0,143,0
245,3,1,0,143,0
246,3,1,0,143,0
247,3,1,0,143,0
248,30,0,11,75,0
249,30,0,11,75,0
250,30,0,11,75,0
251,30,0,11,75,0
252,30,0,11,75,0
253,30,0,11,75,0
254,30,0,11,75,0
255,30,0,11,75,0
256,30,0,11,75,0
257,30,0,11,75,0
258,30,0,11,75,0
259,30,0,11,75,0
260,30,0,11,75,0
261,30,0,11,75,0
262,30,0,11,75,0
263,30,0,11,75,0
264,30,0,11,75,0
265,30,0,11,75,0
266,30,0,11,75,0
267,30,0,11,75,0
268,30,0,11,75,0
269,30,0,11,75,0
270,30,0,11,75,0
271,30,0,11,75,0
272,30,0,11,75,0
273,30,0,11,75,0
274,30,0,11,75,0
275,30,0,11,75,0
276,30,0,11,75,0
277,30,0,11,75,0
278,30,0,11,75,0
279,30,0,11,75,0
280,30,0,11,75,0
281,30,0,11,75,0
282,30,0,11,75,0
283,30,0,11,75,0
284,30,0,11,75,0
285,30,0,11,75,0
286,30,0,11,75,0
287,30,0,11,75,0
288,30,0,11,75,0
289,30,0,11,75,0
290,30,0,11,75,0
291,30,0,11,75,0
292,30,0,11,75,0
293,30,0,11,75,0
294,30,0,11,75,0
295,30,0,11,75,0
296,30,0,11,75,0
297,30,0,11,75,0
298,30,0,11,75,0
299,30,0,11,75,0
300,30,0,11,75,0
301,30,0,11,75,0
302,30,0,11,75,0
303,30,0,11,75,0
304,30,0,11,75,0
305,30,0,11,75,0
306,30,0,11,75,0
307,30,0,11,75,0
308,30,0,11,75,0
309,30,0,11,75,0
310,30,0,11,75,0
311,30,0,11,75,0
312,30,0,11,75,0
313,30,0,11,75,0
314,30,0,11,75,0
315,30,0,11,75,0
316,30,0,11,75,0
317,30,0,11,75,0
